ts,side,price,qty,pnl,reason
2025-05-29 19:00,SELL,105731.74,0.1,-10.54,exit
2025-05-29 20:00,BUY,106180.0,0.1,,entry
2025-05-29 21:00,SELL,106443.01,0.1,26.3,exit
2025-05-29 22:00,BUY,105929.07,0.1,,entry
2025-05-29 23:00,SELL,105589.75,0.1,-33.93,exit
2025-05-30 00:00,BUY,104939.99,0.1,,entry
2025-05-30 01:00,SELL,105666.66,0.1,72.67,exit
2025-05-30 07:00,BUY,105028.02,0.1,,entry
2025-05-30 08:00,SELL,105177.33,0.1,14.93,exit
2025-05-30 16:00,BUY,103898.75,0.1,,entry
2025-05-30 17:00,SELL,104183.15,0.1,28.44,exit
2025-05-30 22:00,BUY,103966.33,0.1,,entry
2025-05-30 23:00,SELL,103985.48,0.1,1.91,exit
2025-05-31 00:00,BUY,103957.33,0.1,,entry
2025-05-31 01:00,SELL,103476.61,0.1,-48.07,exit
2025-05-31 02:00,BUY,103189.83,0.1,,entry
2025-05-31 03:00,SELL,103684.01,0.1,49.42,exit
2025-05-31 22:00,BUY,104625.8,0.1,,entry
2025-06-01 00:00,SELL,104446.49,0.1,-17.93,exit
2025-06-01 16:00,BUY,105038.8,0.1,,entry
2025-06-01 23:00,SELL,105642.93,0.1,60.41,exit
2025-06-02 09:00,BUY,104585.36,0.1,,entry
2025-06-02 10:00,SELL,104370.85,0.1,-21.45,exit
2025-06-02 22:00,BUY,105695.49,0.1,,entry
2025-06-03 00:00,SELL,106285.72,0.1,59.02,exit
2025-06-03 21:00,BUY,105367.93,0.1,,entry
2025-06-03 23:00,SELL,105376.89,0.1,0.9,exit
2025-06-04 05:00,BUY,105354.14,0.1,,entry
2025-06-04 06:00,SELL,105301.02,0.1,-5.31,exit
2025-06-04 09:00,BUY,105825.31,0.1,,entry
2025-06-04 11:00,SELL,105084.36,0.1,-74.09,exit
2025-06-05 16:00,BUY,103262.53,0.1,,entry
2025-06-05 17:00,SELL,103240.04,0.1,-2.25,exit
2025-06-05 18:00,BUY,103006.05,0.1,,entry
2025-06-05 19:00,SELL,101914.77,0.1,-109.13,exit
2025-06-05 20:00,BUY,100483.91,0.1,,entry
2025-06-05 21:00,SELL,101542.82,0.1,105.89,exit
2025-06-05 22:00,BUY,101502.61,0.1,,entry
2025-06-05 23:00,SELL,101508.68,0.1,0.61,exit
2025-06-06 13:00,BUY,104098.84,0.1,,entry
2025-06-06 14:00,SELL,104776.7,0.1,67.79,exit
2025-06-08 09:00,BUY,105140.01,0.1,,entry
2025-06-08 11:00,SELL,105686.71,0.1,54.67,exit
2025-06-09 01:00,BUY,105527.71,0.1,,entry
2025-06-09 02:00,SELL,105560.89,0.1,3.32,exit
2025-06-09 04:00,BUY,105449.21,0.1,,entry
2025-06-09 05:00,SELL,105379.11,0.1,-7.01,exit
2025-06-09 07:00,BUY,105560.71,0.1,,entry
2025-06-09 09:00,SELL,106612.52,0.1,105.18,exit
2025-06-10 14:00,BUY,108620.01,0.1,,entry
2025-06-10 18:00,SELL,109282.38,0.1,66.24,exit
2025-06-11 17:00,BUY,108984.72,0.1,,entry
2025-06-11 18:00,SELL,108807.25,0.1,-17.75,exit
2025-06-12 03:00,BUY,107860.05,0.1,,entry
2025-06-12 04:00,SELL,107765.12,0.1,-9.49,exit
2025-06-12 05:00,BUY,107746.91,0.1,,entry
2025-06-12 06:00,SELL,107909.02,0.1,16.21,exit
2025-06-12 07:00,BUY,107633.53,0.1,,entry
2025-06-12 08:00,SELL,107731.67,0.1,9.81,exit
2025-06-12 09:00,BUY,107507.35,0.1,,entry
2025-06-12 10:00,SELL,107323.16,0.1,-18.42,exit
2025-06-12 11:00,BUY,106900.95,0.1,,entry
2025-06-12 12:00,SELL,106988.54,0.1,8.76,exit
2025-06-12 13:00,BUY,107070.8,0.1,,entry
2025-06-12 15:00,SELL,107020.95,0.1,-4.99,exit
2025-06-12 20:00,BUY,105973.62,0.1,,entry
2025-06-12 21:00,SELL,105894.31,0.1,-7.93,exit
2025-06-12 22:00,BUY,105890.7,0.1,,entry
2025-06-12 23:00,SELL,105671.73,0.1,-21.9,exit
2025-06-13 00:00,BUY,103797.81,0.1,,entry
2025-06-13 01:00,SELL,103773.65,0.1,-2.42,exit
2025-06-13 02:00,BUY,103641.21,0.1,,entry
2025-06-13 03:00,SELL,104277.22,0.1,63.6,exit
2025-06-13 04:00,BUY,104404.52,0.1,,entry
2025-06-13 05:00,SELL,104002.25,0.1,-40.23,exit
2025-06-14 16:00,BUY,104457.85,0.1,,entry
2025-06-14 17:00,SELL,104608.17,0.1,15.03,exit
2025-06-15 01:00,BUY,105421.03,0.1,,entry
2025-06-15 05:00,SELL,106073.94,0.1,65.29,exit
2025-06-15 08:00,BUY,105197.19,0.1,,entry
2025-06-15 09:00,SELL,104915.15,0.1,-28.2,exit
2025-06-15 14:00,BUY,105657.64,0.1,,entry
2025-06-15 19:00,SELL,105294.19,0.1,-36.34,exit
2025-06-16 01:00,BUY,105815.08,0.1,,entry
2025-06-16 04:00,SELL,106386.0,0.1,57.09,exit
2025-06-16 23:00,BUY,106794.53,0.1,,entry
2025-06-17 02:00,SELL,107482.39,0.1,68.79,exit
2025-06-17 06:00,BUY,106832.91,0.1,,entry
2025-06-17 07:00,SELL,106758.52,0.1,-7.44,exit
2025-06-17 08:00,BUY,106568.06,0.1,,entry
2025-06-17 09:00,SELL,106160.57,0.1,-40.75,exit
2025-06-17 11:00,BUY,105641.47,0.1,,entry
2025-06-17 12:00,SELL,105507.0,0.1,-13.45,exit
2025-06-17 13:00,BUY,105349.27,0.1,,entry
2025-06-17 14:00,SELL,104847.33,0.1,-50.19,exit
2025-06-17 15:00,BUY,104241.63,0.1,,entry
2025-06-17 16:00,SELL,103630.67,0.1,-61.1,exit
2025-06-17 17:00,BUY,103814.01,0.1,,entry
2025-06-17 18:00,SELL,104414.84,0.1,60.08,exit
2025-06-17 20:00,BUY,104362.39,0.1,,entry
2025-06-17 21:00,SELL,104552.58,0.1,19.02,exit
2025-06-17 22:00,BUY,104228.31,0.1,,entry
2025-06-18 06:00,SELL,104966.2,0.1,73.79,exit
2025-06-18 18:00,BUY,103623.39,0.1,,entry
2025-06-18 19:00,SELL,103808.41,0.1,18.5,exit
2025-06-20 07:00,BUY,105811.74,0.1,,entry
2025-06-20 14:00,SELL,103940.01,0.1,-187.17,exit
2025-06-20 15:00,BUY,104217.99,0.1,,entry
2025-06-20 16:00,SELL,103670.61,0.1,-54.74,exit
2025-06-20 17:00,BUY,103279.26,0.1,,entry
2025-06-20 18:00,SELL,103165.45,0.1,-11.38,exit
2025-06-20 19:00,BUY,103307.22,0.1,,entry
2025-06-20 20:00,SELL,103693.5,0.1,38.63,exit
2025-06-20 22:00,BUY,103107.11,0.1,,entry
2025-06-20 23:00,SELL,103297.99,0.1,19.09,exit
2025-06-21 18:00,BUY,102645.22,0.1,,entry
2025-06-21 19:00,SELL,102245.1,0.1,-40.01,exit
2025-06-21 21:00,BUY,101455.61,0.1,,entry
2025-06-21 22:00,SELL,101772.96,0.1,31.74,exit
2025-06-22 13:00,BUY,100865.66,0.1,,entry
2025-06-22 14:00,SELL,99628.28,0.1,-123.74,exit
2025-06-22 15:00,BUY,98906.21,0.1,,entry
2025-06-22 16:00,SELL,99667.17,0.1,76.1,exit
2025-06-22 17:00,BUY,99480.0,0.1,,entry
2025-06-22 18:00,SELL,99437.42,0.1,-4.26,exit
2025-06-22 19:00,BUY,98882.84,0.1,,entry
2025-06-22 20:00,SELL,99536.0,0.1,65.32,exit
2025-06-22 21:00,BUY,99173.83,0.1,,entry
2025-06-23 05:00,SELL,101771.02,0.1,259.72,exit
2025-06-23 08:00,BUY,101881.37,0.1,,entry
2025-06-23 10:00,SELL,101463.21,0.1,-41.82,exit
2025-06-23 12:00,BUY,101684.7,0.1,,entry
2025-06-23 13:00,SELL,102354.14,0.1,66.94,exit
