ts,side,price,qty,pnl,reason
2026-01-18 23:00,SELL,93673.14,0.1,-170.79,exit
2026-01-19 00:00,BUY,92711.02,0.1,,entry
2026-01-19 01:00,SELL,92586.65,0.1,-12.44,exit
2026-01-19 02:00,BUY,92566.8,0.1,,entry
2026-01-19 03:00,SELL,92690.09,0.1,12.33,exit
2026-01-19 04:00,BUY,92665.0,0.1,,entry
2026-01-19 05:00,SELL,92511.77,0.1,-15.32,exit
2026-01-19 06:00,BUY,92583.27,0.1,,entry
2026-01-19 07:00,SELL,92841.62,0.1,25.83,exit
2026-01-19 14:00,BUY,92812.43,0.1,,entry
2026-01-19 18:00,SELL,93065.84,0.1,25.34,exit
2026-01-19 22:00,BUY,92565.78,0.1,,entry
2026-01-19 23:00,SELL,92631.0,0.1,6.52,exit
2026-01-20 02:00,BUY,92552.16,0.1,,entry
2026-01-20 03:00,SELL,92434.92,0.1,-11.72,exit
2026-01-20 04:00,BUY,92062.61,0.1,,entry
2026-01-20 05:00,SELL,91624.18,0.1,-43.84,exit
2026-01-20 06:00,BUY,90929.98,0.1,,entry
2026-01-20 07:00,SELL,91177.98,0.1,24.8,exit
2026-01-20 08:00,BUY,91116.0,0.1,,entry
2026-01-20 09:00,SELL,91036.25,0.1,-7.98,exit
2026-01-20 10:00,BUY,91269.58,0.1,,entry
2026-01-20 11:00,SELL,91218.99,0.1,-5.06,exit
2026-01-20 12:00,BUY,91280.31,0.1,,entry
2026-01-20 13:00,SELL,90958.88,0.1,-32.14,exit
2026-01-20 14:00,BUY,90531.15,0.1,,entry
2026-01-20 15:00,SELL,90684.95,0.1,15.38,exit
2026-01-20 16:00,BUY,90165.51,0.1,,entry
2026-01-20 17:00,SELL,89775.46,0.1,-39.0,exit
2026-01-20 18:00,BUY,89501.0,0.1,,entry
2026-01-20 19:00,SELL,89725.76,0.1,22.48,exit
2026-01-20 20:00,BUY,89733.99,0.1,,entry
2026-01-20 21:00,SELL,89476.01,0.1,-25.8,exit
2026-01-20 22:00,BUY,88509.18,0.1,,entry
2026-01-20 23:00,SELL,88427.66,0.1,-8.15,exit
2026-01-21 00:00,BUY,88936.01,0.1,,entry
2026-01-21 01:00,SELL,89020.91,0.1,8.49,exit
2026-01-21 02:00,BUY,89048.57,0.1,,entry
2026-01-21 07:00,SELL,89213.95,0.1,16.54,exit
2026-01-21 11:00,BUY,88789.99,0.1,,entry
2026-01-21 12:00,SELL,88736.31,0.1,-5.37,exit
2026-01-21 13:00,BUY,88672.64,0.1,,entry
2026-01-21 15:00,SELL,90288.04,0.1,161.54,exit
2026-01-21 16:00,BUY,87602.4,0.1,,entry
2026-01-21 17:00,SELL,87932.38,0.1,33.0,exit
2026-01-22 03:00,BUY,89899.51,0.1,,entry
2026-01-22 07:00,SELL,89818.79,0.1,-8.07,exit
2026-01-22 13:00,BUY,89619.81,0.1,,entry
2026-01-22 14:00,SELL,89088.59,0.1,-53.12,exit
2026-01-23 04:00,BUY,89965.42,0.1,,entry
2026-01-23 05:00,SELL,89616.03,0.1,-34.94,exit
2026-01-23 17:00,BUY,90600.0,0.1,,entry
2026-01-23 20:00,SELL,89503.68,0.1,-109.63,exit
2026-01-23 21:00,BUY,89349.99,0.1,,entry
2026-01-23 22:00,SELL,89624.61,0.1,27.46,exit
2026-01-24 00:00,BUY,89452.83,0.1,,entry
2026-01-24 01:00,SELL,89550.24,0.1,9.74,exit
2026-01-24 02:00,BUY,89702.85,0.1,,entry
2026-01-24 06:00,SELL,89649.32,0.1,-5.35,exit
2026-01-25 03:00,BUY,88960.35,0.1,,entry
2026-01-25 04:00,SELL,89006.96,0.1,4.66,exit
2026-01-25 06:00,BUY,88831.36,0.1,,entry
2026-01-25 07:00,SELL,88659.99,0.1,-17.14,exit
2026-01-25 08:00,BUY,88300.01,0.1,,entry
2026-01-25 09:00,SELL,88398.38,0.1,9.84,exit
2026-01-25 16:00,BUY,88077.26,0.1,,entry
2026-01-25 17:00,SELL,87892.17,0.1,-18.51,exit
2026-01-25 18:00,BUY,87420.01,0.1,,entry
2026-01-25 19:00,SELL,86495.16,0.1,-92.48,exit
2026-01-25 20:00,BUY,86654.61,0.1,,entry
2026-01-25 21:00,SELL,86568.5,0.1,-8.61,exit
2026-01-25 22:00,BUY,86521.39,0.1,,entry
2026-01-25 23:00,SELL,86670.36,0.1,14.9,exit
2026-01-26 00:00,BUY,86854.86,0.1,,entry
2026-01-26 09:00,SELL,87663.12,0.1,80.83,exit
2026-01-26 23:00,BUY,88347.08,0.1,,entry
2026-01-27 02:00,SELL,88831.6,0.1,48.45,exit
2026-01-27 09:00,BUY,87886.82,0.1,,entry
2026-01-27 10:00,SELL,87786.53,0.1,-10.03,exit
2026-01-27 16:00,BUY,88641.44,0.1,,entry
2026-01-27 17:00,SELL,87546.58,0.1,-109.49,exit
2026-01-27 19:00,BUY,88408.77,0.1,,entry
2026-01-27 20:00,SELL,89396.16,0.1,98.74,exit
2026-01-28 20:00,BUY,89130.63,0.1,,entry
2026-01-29 00:00,SELL,89143.91,0.1,1.33,exit
2026-01-29 01:00,BUY,88603.56,0.1,,entry
2026-01-29 02:00,SELL,87907.06,0.1,-69.65,exit
2026-01-29 14:00,BUY,87014.4,0.1,,entry
2026-01-29 15:00,SELL,84934.02,0.1,-208.04,exit
2026-01-29 16:00,BUY,85270.0,0.1,,entry
2026-01-29 17:00,SELL,84261.66,0.1,-100.83,exit
2026-01-29 18:00,BUY,83477.02,0.1,,entry
2026-01-29 19:00,SELL,84012.11,0.1,53.51,exit
2026-01-29 20:00,BUY,84216.91,0.1,,entry
2026-01-29 21:00,SELL,84526.57,0.1,30.97,exit
2026-01-29 22:00,BUY,84570.05,0.1,,entry
2026-01-29 23:00,SELL,84650.16,0.1,8.01,exit
2026-01-30 00:00,BUY,84192.0,0.1,,entry
2026-01-30 01:00,SELL,82468.02,0.1,-172.4,exit
2026-01-30 02:00,BUY,82164.88,0.1,,entry
2026-01-30 03:00,SELL,82676.43,0.1,51.15,exit
2026-01-30 04:00,BUY,82938.92,0.1,,entry
2026-01-30 05:00,SELL,82914.19,0.1,-2.47,exit
2026-01-30 06:00,BUY,82602.81,0.1,,entry
2026-01-30 07:00,SELL,82816.98,0.1,21.42,exit
2026-01-30 08:00,BUY,82671.7,0.1,,entry
2026-01-30 09:00,SELL,82363.72,0.1,-30.8,exit
2026-01-30 10:00,BUY,82833.92,0.1,,entry
2026-01-30 12:00,SELL,82800.5,0.1,-3.34,exit
2026-01-31 12:00,BUY,82762.0,0.1,,entry
2026-01-31 13:00,SELL,82767.99,0.1,0.6,exit
2026-01-31 14:00,BUY,81479.99,0.1,,entry
2026-01-31 15:00,SELL,81302.15,0.1,-17.78,exit
2026-01-31 16:00,BUY,80365.04,0.1,,entry
2026-01-31 17:00,SELL,78893.92,0.1,-147.11,exit
2026-01-31 18:00,BUY,78038.38,0.1,,entry
2026-01-31 19:00,SELL,77750.01,0.1,-28.84,exit
2026-01-31 20:00,BUY,77999.03,0.1,,entry
2026-01-31 21:00,SELL,78292.0,0.1,29.3,exit
2026-01-31 22:00,BUY,78155.17,0.1,,entry
2026-01-31 23:00,SELL,78741.09,0.1,58.59,exit
2026-02-01 00:00,BUY,78902.31,0.1,,entry
