ts,side,price,qty,pnl,reason
2026-01-28 08:00,BUY,88925.47,0.1,,Pullback RSI=52.4 ADX=21.2
2026-01-28 09:00,SELL,89567.25,0.1,64.18,RSIExit RSI=60.6 g=+0.72%
2026-01-28 15:00,BUY,89479.66,0.1,,Pullback RSI=54.0 ADX=23.6
2026-01-28 17:00,SELL,90169.88,0.1,69.02,RSIExit RSI=61.5 g=+0.77%
2026-01-28 18:00,BUY,89546.24,0.1,,Pullback RSI=53.0 ADX=22.0
2026-01-28 19:00,SELL,89402.58,0.1,-14.37,BelowEMAs g=-0.16%
2026-01-29 02:00,BUY,87907.06,0.1,,DeepRSI RSI=34.6 ADX=18.3
2026-01-29 03:00,SELL,88053.71,0.1,14.67,BelowEMAs g=+0.17%
2026-01-29 14:00,BUY,87014.4,0.1,,DeepRSI RSI=30.2 ADX=26.7
2026-01-29 15:00,SELL,84934.02,0.1,-208.04,TrailStop g=-2.39%
2026-01-29 16:00,BUY,85270.0,0.1,,DeepRSI RSI=24.0 ADX=33.4
2026-01-29 17:00,SELL,84261.66,0.1,-100.83,TrailStop g=-1.18%
2026-01-29 18:00,BUY,83477.02,0.1,,DeepRSI RSI=17.7 ADX=39.5
2026-01-29 19:00,SELL,84012.11,0.1,53.51,BelowEMAs g=+0.64%
2026-01-29 20:00,BUY,84216.91,0.1,,DeepRSI RSI=26.8 ADX=44.8
2026-01-30 00:00,SELL,84192.0,0.1,-2.49,BelowEMAs g=-0.03%
2026-01-30 01:00,BUY,82468.02,0.1,,DeepRSI RSI=22.0 ADX=51.7
2026-01-30 02:00,SELL,82164.88,0.1,-30.31,BelowEMAs g=-0.37%
2026-01-30 03:00,BUY,82676.43,0.1,,DeepRSI RSI=27.0 ADX=55.1
2026-01-30 04:00,SELL,82938.92,0.1,26.25,BelowEMAs g=+0.32%
2026-01-30 05:00,BUY,82914.19,0.1,,DeepRSI RSI=29.8 ADX=55.3
2026-01-30 06:00,SELL,82602.81,0.1,-31.14,BelowEMAs g=-0.38%
2026-01-30 07:00,BUY,82816.98,0.1,,DeepRSI RSI=30.9 ADX=56.0
2026-01-30 08:00,SELL,82671.7,0.1,-14.53,BelowEMAs g=-0.18%
2026-01-30 09:00,BUY,82363.72,0.1,,DeepRSI RSI=28.4 ADX=56.5
2026-01-30 12:00,SELL,82800.5,0.1,43.68,BelowEMAs g=+0.53%
2026-01-30 18:00,BUY,83931.13,0.1,,GoldenCross ADX=48.4
2026-01-31 06:00,SELL,83786.09,0.1,-14.5,BelowEMAs g=-0.17%
2026-01-31 12:00,BUY,82762.0,0.1,,DeepRSI RSI=34.7 ADX=45.2
2026-01-31 13:00,SELL,82767.99,0.1,0.6,BelowEMAs g=+0.01%
2026-01-31 14:00,BUY,81479.99,0.1,,DeepRSI RSI=23.5 ADX=48.6
2026-01-31 15:00,SELL,81302.15,0.1,-17.78,BelowEMAs g=-0.22%
2026-01-31 16:00,BUY,80365.04,0.1,,DeepRSI RSI=17.8 ADX=52.8
2026-01-31 17:00,SELL,78893.92,0.1,-147.11,TrailStop g=-1.83%
2026-01-31 18:00,BUY,78038.38,0.1,,DeepRSI RSI=11.4 ADX=57.9
2026-01-31 19:00,SELL,77750.01,0.1,-28.84,BelowEMAs g=-0.37%
2026-01-31 20:00,BUY,77999.03,0.1,,DeepRSI RSI=14.6 ADX=62.4
2026-01-31 21:00,SELL,78292.0,0.1,29.3,BelowEMAs g=+0.38%
2026-01-31 22:00,BUY,78155.17,0.1,,DeepRSI RSI=18.6 ADX=65.3
2026-02-01 01:00,SELL,78532.17,0.1,37.7,BelowEMAs g=+0.48%
2026-02-01 02:00,BUY,78900.01,0.1,,DeepRSI RSI=32.2 ADX=63.6
2026-02-01 05:00,SELL,78620.91,0.1,-27.91,BelowEMAs g=-0.35%
2026-02-01 06:00,BUY,78300.0,0.1,,DeepRSI RSI=28.9 ADX=61.6
2026-02-01 07:00,SELL,78343.0,0.1,4.3,BelowEMAs g=+0.05%
2026-02-01 08:00,BUY,78604.02,0.1,,DeepRSI RSI=33.8 ADX=61.0
2026-02-01 10:00,SELL,78279.73,0.1,-32.43,TrailStop g=-0.41%
2026-02-01 15:00,BUY,77593.4,0.1,,DeepRSI RSI=31.2 ADX=58.6
